time,count
533,3
534,2
535,0
536,2
537,0
538,1
539,2
540,2
541,1
542,1
543,0
544,1
545,1
546,1
547,1
548,1
549,2
550,3
551,0
552,0
553,2
554,1
555,1
556,1
557,2
558,2
559,4
560,2
561,2
562,1
563,0
564,2
565,3
566,0
567,1
568,1
569,1
570,3
571,1
572,1
573,2
574,2
575,1
576,0
577,1
578,1
579,1
580,1
581,1
582,2
583,0
584,1
585,0
586,1
587,0
588,0
589,2
590,2
591,2
592,5
593,1
594,0
595,3
596,1
597,3
598,0
599,3
600,5
601,1
602,2
603,1
604,2
605,1
606,3
607,0
608,4
609,3
610,1
611,4
612,0
613,2
614,2
615,2
616,0
617,1
618,2
619,2
620,2
621,5
622,2
623,1
624,1
625,2
626,1
627,1
628,0
629,3
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,1
638,4
639,0
640,2
641,0
642,0
643,3
644,3
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,1
653,2
654,0
655,1
656,2
657,2
658,0
659,0
660,1
661,1
662,0
663,1
664,3
665,2
666,3
667,2
668,1
669,0
670,3
671,3
672,1
673,1
674,1
675,1
676,1
677,0
678,0
679,1
680,2
681,1
682,0
683,5
684,2
685,2
686,1
687,2
688,1
689,3
690,2
691,1
692,2
693,2
694,2
695,1
696,0
697,2
698,3
699,2
700,1
701,0
702,2
703,1
704,2
705,2
706,0
707,0
708,6
709,2
710,0
711,4
712,1
713,1
714,3
715,2
716,2
717,0
718,5
719,3
720,1
721,4
722,3
723,0
724,5
725,6
726,1
727,4
728,5
729,0
730,5
731,0
732,3
733,1
734,2
735,2
736,2
737,0
738,2
739,1
740,1
741,2
742,1
743,2
744,1
745,1
746,2
747,0
748,1
749,0
750,0
751,0
752,3
753,3
754,4
755,1
756,1
757,1
758,3
759,3
760,3
761,0
762,3
763,1
764,4
765,1
766,3
767,1
768,1
769,2
770,5
771,2
772,4
773,3
774,1
775,1
776,1
777,1
778,1
779,5
780,3
781,1
782,1
783,0
784,0
785,2
786,3
787,2
788,0
789,0
790,0
791,4
792,5
793,3
794,2
795,3
796,3
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,2
808,1
809,1
810,8
811,1
812,3
813,1
814,3
815,1
816,1
817,1
818,1
819,1
820,2
821,0
822,1
823,0
824,1
825,2
826,3
827,2
828,0
829,3
830,1
831,0
832,3
833,2
834,1
835,2
836,3
837,0
838,3
839,0
840,1
841,1
842,2
843,2
844,2
845,1
846,1
847,0
848,1
849,3
850,0
851,3
852,2
853,0
854,2
855,1
856,1
857,1
858,1
859,2
860,1
861,2
862,0
863,2
864,1
865,3
866,2
867,0
868,3
869,4
870,2
871,4
872,1
873,0
874,2
875,0
876,1
877,0
878,2
879,2
880,3
881,0
882,1
883,1
884,1
885,2
886,2
887,1
888,1
889,1
890,0
891,2
892,0
893,2
894,2
895,0
896,0
897,1
898,1
899,1
900,3
901,0
902,0
903,2
904,0
905,1
906,2
907,1
908,3
909,1
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,1
918,0
919,3
920,0
921,2
922,0
923,0
924,0
925,3
926,1
927,2
928,1
929,3
930,0
931,2
932,6
933,0
934,2
935,1
936,0
937,3
938,0
939,2
940,2
941,1
942,1
943,2
944,1
945,0
946,0
947,3
948,1
949,1
950,1
951,1
952,0
953,2
954,1
955,3
956,1
957,0
958,1
959,0
960,0
961,3
962,0
963,0
964,0
965,2
966,3
967,1
968,0
969,1
970,0
971,1
972,1
973,0
974,0
975,4
976,1
977,0
978,2
979,2
980,1
981,2
982,2
983,1
984,2
985,2
986,3
987,3
988,1
989,4
990,0
991,0
992,0
993,2
994,0
995,2
996,1
997,1
998,0
999,3
1000,2
1001,0
1002,3
1003,3
1004,2
1005,2
1006,0
1007,3
1008,1
1009,3
1010,0
1011,0
1012,4
1013,0
1014,0
1015,0
1016,1
1017,3
1018,2
1019,1
1020,2
1021,0
1022,0
1023,4
1024,0
1025,2
1026,1
1027,2
1028,1
1029,4
1030,5
1031,0
1032,0
1033,3
1034,0
1035,1
1036,1
1037,1
1038,1
1039,1
1040,4
1041,1
1042,2
1043,0
1044,0
1045,2
1046,3
1047,1
1048,1
1049,4
1050,2
1051,2
1052,2
1053,1
1054,1
1055,3
1056,3
1057,2
1058,0
1059,5
1060,0
1061,4
1062,3
1063,0
1064,2
1065,2
1066,2
1067,4
1068,0
1069,5
1070,2
1071,2
1072,1
1073,1
1074,2
1075,1
1076,3
1077,5
1078,1
1079,1
1080,0
1081,1
1082,3
1083,2
1084,2
1085,1
1086,1
1087,2
1088,1
1089,4
1090,1
1091,1
1092,3
1093,0
1094,2
1095,0
1096,2
1097,2
1098,1
1099,1
1100,3
1101,3
1102,4
1103,4
1104,4
1105,2
1106,1
1107,4
1108,3
1109,2
1110,1
1111,3
1112,4
1113,1
1114,2
1115,0
1116,5
1117,3
1118,0
1119,3
1120,0
1121,0
1122,5
1123,4
1124,1
1125,0
1126,4
1127,2
1128,0
1129,3
1130,7
1131,2
1132,1
1133,2
1134,0
1135,2
1136,1
1137,2
1138,1
1139,1
1140,1
1141,0
1142,0
1143,0
1144,0
1145,0
1146,2
1147,1
1148,0
1149,1
1150,1
1151,1
1152,2
1153,0
1154,3
1155,1
1156,0
1157,2
1158,0
1159,1
1160,0
1161,1
1162,0
1163,0
1164,3
1165,0
1166,1
1167,0
1168,0
1169,2
1170,0
1171,1
1172,1
1173,0
1174,1
1175,1
1176,0
1177,1
1178,1
1179,2
1180,1
1181,2
1182,0
1183,2
1184,2
1185,1
1186,1
1187,2
1188,1
1189,1
1190,0
1191,0
1192,2
1193,0
1194,2
1195,0
1196,3
1197,1
1198,1
1199,2
1200,0
1201,0
1202,0
1203,3
1204,1
1205,2
1206,0
1207,0
1208,1
1209,1
1210,2
1211,0
1212,2
1213,0
1214,2
1215,0
1216,3
1217,0
1218,0
1219,1
1220,1
1221,0
1222,2
1223,0
1224,1
1225,0
1226,2
1227,0
1228,1
1229,0
1230,2
1231,2
1232,1
1233,1
1234,0
1235,1
1236,0
1237,0
1238,1
1239,1
1240,1
1241,0
1242,1
1243,0
1244,3
1245,1
1246,0
1247,1
1248,1
1249,0
1250,0
1251,2
1252,0
1253,1
1254,0
1255,1
1256,1
1257,0
1258,0
1259,0
1260,1
1261,1
1262,2
1263,2
1264,1
1265,0
1266,1
1267,0
1268,0
1269,3
1270,2
1271,2
1272,1
1273,1
1274,1
1275,2
1276,0
1277,2
1278,0
1279,2
1280,0
1281,1
1282,2
1283,2
1284,2
1285,0
1286,1
1287,0
1288,0
1289,2
1290,1
1291,1
1292,1
1293,1
1294,2
1295,0
1296,1
1297,3
1298,1
1299,0
1300,0
1301,0
1302,1
1303,0
1304,2
1305,1
1306,1
1307,2
1308,0
1309,2
1310,2
1311,1
1312,2
1313,2
1314,0
1315,2
1316,2
1317,0
1318,2
1319,0
1320,2
1321,1
1322,0
1323,0
1324,1
1325,1
1326,2
1327,0
1328,1
1329,1
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,4
1338,1
1339,0
1340,0
1341,0
1342,1
1343,1
1344,1
1345,1
1346,0
1347,1
1348,0
1349,0
1350,1
1351,0
1352,1
1353,2
1354,0
1355,1
1356,1
1357,0
1358,0
1359,1
1360,1
1361,0
1362,2
1363,0
1364,0
1365,1
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,1
1375,1
1376,2
1377,1
1378,0
1379,0
1380,1
1381,0
1382,1
1383,1
1384,0
1385,0
1386,0
1387,2
1388,1
1389,2
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,1
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,1
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,2
1416,0
1417,0
1418,0
1419,1
1420,1
1421,1
1422,0
1423,0
1424,2
1425,0
1426,0
1427,0
1428,1
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,1
1436,0
1437,0
1438,0
1439,0
